Page,Device,Group,ItemID,Item,Value
DMI,Port Connectors / LINE-OUT,Port Connector Properties,0,Internal Connector Type,None
DMI,Port Connectors / LINE-OUT,Port Connector Properties,0,External Connector Type,Mini-jack (headphones)
DMI,Port Connectors / LINE-IN,Port Connector Properties,0,Port Type,Audio Port
DMI,Port Connectors / LINE-IN,Port Connector Properties,0,Internal Reference Designator,LINE-IN
DMI,Port Connectors / LINE-IN,Port Connector Properties,0,Internal Connector Type,None
DMI,Port Connectors / LINE-IN,Port Connector Properties,0,External Connector Type,Mini-jack (headphones)
DMI,Port Connectors / HP-OUT,Port Connector Properties,0,Port Type,Audio Port
DMI,Port Connectors / HP-OUT,Port Connector Properties,0,Internal Reference Designator,HP-OUT
DMI,Port Connectors / HP-OUT,Port Connector Properties,0,Internal Connector Type,None
DMI,Port Connectors / HP-OUT,Port Connector Properties,0,External Connector Type,Mini-jack (headphones)
DMI,Port Connectors / MONITOR,Port Connector Properties,0,Port Type,Video Port
DMI,Port Connectors / MONITOR,Port Connector Properties,0,Internal Reference Designator,MONITOR
DMI,Port Connectors / MONITOR,Port Connector Properties,0,Internal Connector Type,None
DMI,Port Connectors / MONITOR,Port Connector Properties,0,External Connector Type,DB-15 pin female
DMI,On-Board Devices / Intel(R) High Definition Audio Controller,On-Board Device Properties,0,Description,Intel(R) High Definition Audio Controller
CPU,,CPU Properties,0,CPU Type,Dual Unknown; 2666 MHz (9 x 296)
CPU,,CPU Properties,0,CPU Alias,Katmai; A80525
CPU,,CPU Properties,0,Original Clock,2667 MHz
CPU,,CPU Properties,0,L2 Cache,6 MB (Built-In; Half-Speed)
CPU,,Multi CPU,0,Motherboard ID,DELL Opti 755
CPU,,Multi CPU,0,CPU #0,Intel(R) Core(TM)2 Duo CPU     E8200  @ 2.66GHz; 2660 MHz
CPU,,Multi CPU,0,CPU #1,Intel(R) Core(TM)2 Duo CPU     E8200  @ 2.66GHz; 2660 MHz
CPU,,CPU Physical Info,0,Package Type,242 Contact SEC Cartridge
CPU,,CPU Physical Info,0,Package Size,12.82 cm x 6.28 cm x 1.64 cm
CPU,,CPU Physical Info,0,Transistors,9.5 million
CPU,,CPU Physical Info,0,Process Technology,5M; 0.25 um; CMOS
CPU,,CPU Physical Info,0,Die Size,128 mm2
CPU,,CPU Physical Info,0,Core Voltage,2.00 V / 2.05 V
CPU,,CPU Physical Info,0,I/O Voltage,3.3 V
CPU,,CPU Physical Info,0,Typical Power,17 - 23 W  (depending on clock speed)
CPU,,CPU Physical Info,0,Maximum Power,25.3 - 34.5 W  (depending on clock speed)
CPU,,CPU Utilization,1,CPU #1,100 %
CPU,,CPU Utilization,2,CPU #2,100 %
CPUID,,CPUID Properties,0,CPUID Manufacturer,GenuineIntel
CPUID,,CPUID Properties,0,CPUID CPU Name,Intel(R) Core(TM)2 Duo CPU E8200 @ 2.66GHz
CPUID,,CPUID Properties,0,CPUID Revision,0676h
CPUID,,CPUID Properties,0,IA Brand ID,00h (Unknown)
CPUID,,CPUID Properties,0,Platform ID,01h (Slot 1)
CPUID,,CPUID Properties,0,IA CPU Serial Number,Unknown
CPUID,,CPUID Properties,0,MSR 00000017,0400-0000-8884-881B
CPUID,,CPUID Properties,0,MSR 0000002A,0000-0000-4208-0800
CPUID,,CPUID Properties,0,MSR 0000011E,0000-0000-BE70-2111
CPUID,,Instruction Set,0,AMD 3DNow!,Not Supported
CPUID,,Instruction Set,0,AMD 3DNow! Professional,Not Supported
CPUID,,Instruction Set,0,AMD Enhanced 3DNow!,Not Supported
CPUID,,Instruction Set,0,AMD Extended MMX,Not Supported
CPUID,,Instruction Set,0,AMD x86-64,Supported
CPUID,,Instruction Set,0,Cyrix Extended MMX,Not Supported
CPUID,,Instruction Set,0,IA-64,Not Supported
CPUID,,Instruction Set,0,IA MMX,Supported
CPUID,,Instruction Set,0,IA SSE,Supported
CPUID,,Instruction Set,0,IA SSE 2,Supported
CPUID,,Instruction Set,0,CLFLUSH Instruction,Supported
CPUID,,Instruction Set,0,CMPXCHG8B Instruction,Supported
CPUID,,Instruction Set,0,Conditional Move Instruction,Supported
CPUID,,CPUID Features,0,36-bit Page Size Extension,Supported
CPUID,,CPUID Features,0,Automatic Clock Control,Supported
CPUID,,CPUID Features,0,Debug Trace Store,Supported
CPUID,,CPUID Features,0,Debugging Extension,Supported
CPUID,,CPUID Features,0,Fast Save & Restore,Supported
CPUID,,CPUID Features,0,Fast System Call,Not Supported
CPUID,,CPUID Features,0,Hyper-Threading Technology,Supported
CPUID,,CPUID Features,0,Local APIC On Chip,Supported
CPUID,,CPUID Features,0,Machine-Check Architecture,Supported
CPUID,,CPUID Features,0,Machine-Check Exception,Supported
CPUID,,CPUID Features,0,Memory Type Range Registers,Supported
CPUID,,CPUID Features,0,Model Specific Registers,Supported
CPUID,,CPUID Features,0,Page Attribute Table,Supported
CPUID,,CPUID Features,0,Page Global Extension,Supported
CPUID,,CPUID Features,0,Page Size Extension,Supported
CPUID,,CPUID Features,0,Physical Address Extension,Supported
CPUID,,CPUID Features,0,Processor Duty Cycle Control,Supported
CPUID,,CPUID Features,0,Processor Serial Number,Not Supported
CPUID,,CPUID Features,0,Self-Snoop,Supported
CPUID,,CPUID Features,0,Time Stamp Counter,Supported
CPUID,,CPUID Features,0,Virtual Mode Extension,Supported
CPUID,,Enhanced Power Management,0,Frequency ID Control,Not Supported
CPUID,,Enhanced Power Management,0,Voltage ID Control,Not Supported
CPUID,,Enhanced Power Management,0,Temperature Sensing Diode,Not Supported
Motherboard,,Motherboard Properties,0,Motherboard ID,<DMI>
Motherboard,,Motherboard Properties,0,Motherboard Name,Dell Inc. 0PU052
Motherboard,,Front Side Bus Properties,0,Bus Type,Intel GTL+
Motherboard,,Front Side Bus Properties,0,Bus Width,64-bit
Motherboard,,Front Side Bus Properties,0,Real Clock,296 MHz
Motherboard,,Front Side Bus Properties,0,Effective Clock,296 MHz
Motherboard,,Front Side Bus Properties,0,Bandwidth,2368 MB/s
Memory,,Physical Memory,0,Total,996 MB
Memory,,Physical Memory,0,Used,629 MB
Memory,,Physical Memory,0,Free,367 MB
Memory,,Physical Memory,0,Utilization,63 %
Memory,,Swap Space,0,Total,2391 MB
Memory,,Swap Space,0,Used,688 MB
Memory,,Swap Space,0,Free,1702 MB
Memory,,Swap Space,0,Utilization,29 %
Memory,,Virtual Memory,0,Total,2047 MB
Memory,,Virtual Memory,0,Used,110 MB
Memory,,Virtual Memory,0,Free,1937 MB
Memory,,Virtual Memory,0,Utilization,5 %
BIOS,,BIOS Properties,0,BIOS Type,Phoenix
BIOS,,BIOS Properties,0,System BIOS Date,03/11/08
BIOS,,BIOS Properties,0,Video BIOS Date,12/12/20
BIOS,,BIOS Manufacturer,0,Company Name,Phoenix Technologies Ltd.
BIOS,,BIOS Manufacturer,0,Product Information,http://www.phoenix.com/en/products/default.htm
Operating System,,Operating System Properties,0,OS Name,Microsoft Windows XP Professional
Operating System,,Operating System Properties,0,OS Code Name,Whistler
Operating System,,Operating System Properties,0,OS Language,Español (alfabetización internacional)
Operating System,,Operating System Properties,0,OS Kernel Type,Multiprocessor Free
Operating System,,Operating System Properties,0,OS Version,5.1.2600 (WinXP Retail)
Operating System,,Operating System Properties,0,OS Service Pack,Service Pack 2
Operating System,,Operating System Properties,0,OS Installation Date,01/07/2008
Operating System,,Operating System Properties,0,OS Root,C:\WINDOWS
Operating System,,License Information,0,Registered Owner,xxx
Operating System,,License Information,0,Registered Organization,
Operating System,,License Information,0,Licensed Processors,2
Operating System,,License Information,0,Product ID,76460-OEM-0011903-00102
Operating System,,License Information,0,Product Key,XJM6Q-BQ8HW-T6DFB-Y934T-YD4YT
Operating System,,Current Session,0,Computer Name,CLARA
Operating System,,Current Session,0,User Name,Clara
Operating System,,Current Session,0,Logon Domain,MASTER
Operating System,,Current Session,0,UpTime,21164 sec (0 days; 5 hours; 52 min; 44 sec)
Operating System,,Components Version,0,Common Controls,6.00
Operating System,,Components Version,0,Internet Explorer,6.0.2900.2180
Operating System,,Components Version,0,Outlook Express,6.0.2600.0000
Operating System,,Components Version,0,DirectX,4.09.00.0904 (DirectX 9)
Operating System,,Components Version,0,ASPI,None
Operating System,,Components Version,0,ODBC,3.525.1117.0 (xpsp_sp2_rtm.040803-2158)
Operating System,,Operating System Features,0,Debug Version,No
Operating System,,Operating System Features,0,DBCS Version,No
Operating System,,Operating System Features,0,Security Present,No
Operating System,,Operating System Features,0,Network Present,Yes
Operating System,,Operating System Features,0,Remote Session,No
Operating System,,Operating System Features,0,Safe Mode,No
Operating System,,Operating System Features,0,Slow Processor,No
Processes,aida32.bin,,0,Process File Name,\\ecano\Compartida\AIDA\aida32.bin
Processes,aida32.bin,,0,Used Memory,12060 KB
Processes,aida32.bin,,0,Used Swap,13304 KB
Processes,ASFAgent.exe,,0,Process File Name,C:\Archivos de programa\Intel\ASF Agent\ASFAgent.exe
Processes,ASFAgent.exe,,0,Used Memory,3300 KB
Processes,ASFAgent.exe,,0,Used Swap,1936 KB
Processes,ctfmon.exe,,0,Process File Name,C:\WINDOWS\system32\ctfmon.exe
Processes,ctfmon.exe,,0,Used Memory,3104 KB
Processes,ctfmon.exe,,0,Used Swap,880 KB
Processes,egui.exe,,0,Process File Name,C:\Archivos de programa\ESET\ESET NOD32 Antivirus\egui.exe
Processes,egui.exe,,0,Used Memory,7348 KB
Processes,egui.exe,,0,Used Swap,2256 KB
Processes,ekrn.exe,,0,Process File Name,C:\Archivos de programa\ESET\ESET NOD32 Antivirus\ekrn.exe
Processes,ekrn.exe,,0,Used Memory,50528 KB
Processes,ekrn.exe,,0,Used Swap,46540 KB
Processes,Explorer.EXE,,0,Process File Name,C:\WINDOWS\Explorer.EXE
Processes,Explorer.EXE,,0,Used Memory,34972 KB
Processes,Explorer.EXE,,0,Used Swap,21500 KB
Processes,GrooveMonitor.exe,,0,Process File Name,C:\Archivos de programa\Microsoft Office\Office12\GrooveMonitor.exe
Processes,GrooveMonitor.exe,,0,Used Memory,5660 KB
Processes,GrooveMonitor.exe,,0,Used Swap,1620 KB
Processes,hkcmd.exe,,0,Process File Name,C:\WINDOWS\system32\hkcmd.exe
Processes,hkcmd.exe,,0,Used Memory,3336 KB
Processes,hkcmd.exe,,0,Used Swap,908 KB
Processes,hpcmpmgr.exe,,0,Process File Name,C:\Archivos de programa\HP\hpcoretech\hpcmpmgr.exe
Processes,hpcmpmgr.exe,,0,Used Memory,7860 KB
Processes,hpcmpmgr.exe,,0,Used Swap,4700 KB
Processes,hpqgalry.exe,,0,Process File Name,C:\Archivos de programa\HP\Digital Imaging\bin\hpqgalry.exe
Processes,hpqgalry.exe,,0,Used Memory,7904 KB
Processes,hpqgalry.exe,,0,Used Swap,13156 KB
Processes,HPWuSchd2.exe,,0,Process File Name,C:\Archivos de programa\HP\HP Software Update\HPWuSchd2.exe
Processes,HPWuSchd2.exe,,0,Used Memory,2056 KB
Processes,HPWuSchd2.exe,,0,Used Swap,556 KB
Processes,Iaanotif.exe,,0,Process File Name,C:\Archivos De Programa\Intel\Intel Matrix Storage Manager\Iaanotif.exe
Processes,Iaanotif.exe,,0,Used Memory,4384 KB
Processes,Iaanotif.exe,,0,Used Swap,2296 KB
Processes,Iaantmon.exe,,0,Process File Name,C:\Archivos De Programa\Intel\Intel Matrix Storage Manager\Iaantmon.exe
Processes,Iaantmon.exe,,0,Used Memory,4368 KB
Processes,Iaantmon.exe,,0,Used Swap,2356 KB
Processes,iexplore.exe,,0,Process File Name,C:\Archivos de programa\Internet Explorer\iexplore.exe
Processes,iexplore.exe,,0,Used Memory,3116 KB
Processes,iexplore.exe,,0,Used Swap,14200 KB
Processes,igfxpers.exe,,0,Process File Name,C:\WINDOWS\system32\igfxpers.exe
Processes,igfxpers.exe,,0,Used Memory,2700 KB
Processes,igfxpers.exe,,0,Used Swap,656 KB
Processes,igfxsrvc.exe,,0,Process File Name,C:\WINDOWS\system32\igfxsrvc.exe
Processes,igfxsrvc.exe,,0,Used Memory,3056 KB
Processes,igfxsrvc.exe,,0,Used Swap,964 KB
Processes,javaw.exe,,0,Process File Name,C:\Archivos de programa\Hewlett-Packard\Toolbox\jre\bin\javaw.exe
Processes,javaw.exe,,0,Used Memory,37368 KB
Processes,javaw.exe,,0,Used Swap,40028 KB
Processes,jqs.exe,,0,Process File Name,C:\Archivos de programa\Java\jre6\bin\jqs.exe
Processes,jqs.exe,,0,Used Memory,1380 KB
Processes,jqs.exe,,0,Used Swap,19244 KB
Processes,jucheck.exe,,0,Process File Name,C:\Archivos de programa\Java\jre6\bin\jucheck.exe
Processes,jucheck.exe,,0,Used Memory,7580 KB
Processes,jucheck.exe,,0,Used Swap,4060 KB
Processes,jusched.exe,,0,Process File Name,C:\Archivos de programa\Java\jre6\bin\jusched.exe
Processes,jusched.exe,,0,Used Memory,5964 KB
Processes,jusched.exe,,0,Used Swap,1796 KB
Processes,lsass.exe,,0,Process File Name,C:\WINDOWS\system32\lsass.exe
Processes,lsass.exe,,0,Used Memory,3220 KB
Processes,lsass.exe,,0,Used Swap,4484 KB
Processes,MDM.EXE,,0,Process File Name,C:\Archivos de programa\Archivos comunes\Microsoft Shared\VS7DEBUG\MDM.EXE
Processes,MDM.EXE,,0,Used Memory,3160 KB
Processes,MDM.EXE,,0,Used Swap,1044 KB
Processes,msmsgs.exe,,0,Process File Name,C:\Archivos de programa\Messenger\msmsgs.exe
Processes,msmsgs.exe,,0,Used Memory,4980 KB
Processes,msmsgs.exe,,0,Used Swap,3568 KB
Processes,MsnMsgr.Exe,,0,Process File Name,C:\Archivos de programa\Windows Live\Messenger\MsnMsgr.Exe
Processes,MsnMsgr.Exe,,0,Used Memory,13648 KB
Processes,MsnMsgr.Exe,,0,Used Swap,53144 KB
Processes,OUTLOOK.EXE,,0,Process File Name,C:\ARCHIV~1\MICROS~2\Office12\OUTLOOK.EXE
Processes,OUTLOOK.EXE,,0,Used Memory,29792 KB
